lake x y coexist elev catcharea lakearea maxdepth species temp1 temp2 temp3
22666 1432750 6739800 1 350 23.66 4.23 29 8 3.24 6.15 8.19
36625 1255210 6527050 1 46 508.09 10.17 24.5 15 6.73 9.84 11.63
65033 1333350 6906380 1 784 2.06 0.32 10 4 0.85 3.57 5.63
65554 1584520 6895290 1 64 55.4 13.55 22.5 11 3.79 6.68 8.69
478 1323200 6901070 1 777 76.34 3.09 24 6 0.85 3.57 5.63
61861 1343670 6882380 1 733 40.71 1.99 24 6 0.85 3.57 5.63
104005 1476050 6319030 1 217 134.22 3.44 24 15 6.38 9.26 11.25
16765 1384780 6653020 1 234 38.78 7.42 74 11 4.5 7.39 9.31
65428 1453280 6898500 1 263 0.44 0.73 14 6 2.74 5.51 7.51
85716 1588310 7382020 1 450 2394.1 66.88 65 9 -1.34 1.60 3.71
83108 1631560 7505090 1 602 27.01 3.89 6.5 6 -2.07 0.94 3.03
210 1455970 6734900 1 161 11966.73 334.66 127 30 4.22 7.17 9.12
58305 1547580 6818030 1 155 32.67 2.04 38 8 4.42 7.53 9.60
96772 1582830 7214770 1 289 12.77 3.14 34 11 1.47 4.28 6.19
93333 1437200 6978530 1 326 492.67 83.08 44 8 1.98 4.69 6.64
54841 1562280 7386040 1 614 443.95 0.44 4.5 4 -1.5 1.37 3.43
14984 1325020 6646210 1 226 26.39 4.06 42 13 4.67 7.52 9.43
14490 1322440 6623370 1 96 45.59 5.82 51 12 5.46 8.39 10.36
29272 1287770 6378860 1 16 562.36 31.51 48.5 17 6.97 9.88 11.71
96166 1513460 7219880 1 454 158.55 0.18 5.5 4 0.72 3.44 5.40
103039 1440830 6251840 1 95 173.67 19.9 42 12 6.73 9.69 11.65
85323 1563020 7381020 1 601 19.01 0.052 2.5 2 -1.5 1.37 3.43
102211 1416200 6238150 1 73 328.39 4.53 25 12 7.3 10.43 12.38
83136 1630440 7504590 1 602 9.5 1.22 3 6 -2.07 0.94 3.03
2260 1568840 7253380 1 436 18.06 0.88 13 5 0.51 3.31 5.29
